CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guatemala,,,,,,,,,,,,,,,,,,,,,0.165507664,0.144657193,0.137062039,0.123326559,0.132058807,0.136855903,0.143486321,0.149562372,0.148717906,0.147273893,0.171089835,0.163980836,0.18626546,0.168523601,0.19579402,0.19546487,0.176247217,0.192896189,0.211652687,0.207910354,0.222836797,0.233380642,0.236245109,0.220053791,0.224032711,0.235347079,0.225757591,0.223397034,0.199364192,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239374787,0.230875967,0.224388732,0.219603884,0.212717468,0.210898801,0.204218908,0.199720653,0.21379268,0.208036175,0.201189696,0.193356768,0.179157807,0.175200028,0.172954408,0.170514652,0.167570723,0.161159897,0.157476768,0.154981522,0.15120706,0.151799412,0.145039398,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,0.194101957,0.160153479,0.153698036,0.159104877,0.164516741,0.168704721,0.180909251,0.186359384,0.19833334,0.199603834,0.206044979,0.198887857,0.199534236,0.209192892,0.202706291,0.196717891,0.178559739,0.180558783,0.176385277,0.185808836,0.139308256,0.139030196,0.157969963,0.188337088,0.1925373,0.189873336,0.193647692,0.195144764,0.186630475,,,
Guyana,,,,,,,,,,,,,,,,,,,,,1.118986031,1.109268545,0.996746907,0.949322233,1.126007542,1.111104597,0.825691519,1.025067847,1.141899067,1.022513138,1.006029002,0.933960981,0.812351097,0.753306234,0.877318786,0.927480364,0.887369546,0.875417444,0.919167447,0.890677325,0.864979701,0.812579147,0.819666459,0.814255441,0.757897874,0.800148987,0.766635786,0.716482043,0.702433376,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099557363,0.095863159,0.073978962,0.038064248,0.108554515,0.120872234,0.153230424,0.129858635,0.136588442,0.139144048,0.161343721,0.188209439,0.178115628,0.211542899,0.217004481,0.21672254,0.237285803,0.238897861,,,
Honduras,,,,,,,,,,,,,,,,,,,,,0.201113975,0.173768582,0.170547101,0.195400193,0.185890465,0.17117585,0.164718519,0.182781455,0.201245209,0.210128925,0.199485702,0.201127548,0.217066038,0.189235941,0.224554198,0.250881831,0.24721081,0.247225599,0.268644264,0.279216776,0.280171738,0.309719855,0.318247438,0.338310328,0.346582653,0.338032263,0.304226853,0.35420447,0.326170755,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,0.235999298,0.242157786,0.248027073,0.249658452,0.241507755,0.24706116,0.248319044,0.240887904,0.231637252,0.233253347,0.204617285,0.202216592,0.220527608,0.218545294,0.184436568,0.181395637,0.161679277,0.161700296,0.218799118,0.232489221,0.204429097,0.19033055,0.181872513,0.191440766,0.169228165,0.166815672,0.148205459,0.144392601,0.136229182,,,
Hungary,,,,,,,,,,,,,,,,,,,,,0.714698093,0.692844614,0.675672061,0.688321956,0.683408832,0.649331444,0.620450409,0.602706083,0.559018352,0.539513317,0.462822347,0.528990142,0.50511222,0.520222876,0.488039818,0.49733648,0.518428111,0.495533972,0.468793889,0.450599703,0.410086967,0.393787863,0.37026581,0.375484495,0.347987428,0.338037314,0.321688467,0.313578259,0.304064919,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0.374492322,0.337298536,0.301172465,0.297910323,0.335587758,0.291416177,0.302631319,0.280511795,0.295570724,0.300489145,0.317228733,0.310623988,0.30050461,0.312129031,0.304031097,0.29314811,0.318896213,0.289343581,0.271678146,0.256893324,0.25759578,0.240732941,0.248370224,0.242057989,0.231305662,0.212876252,0.206008977,0.203631578,0.191623675,,,
India,,,,,,,,,,,,,,,,,,,,,0.566373471,0.574541197,0.590255974,0.596910468,0.594597034,0.619811447,0.634299226,0.65157323,0.641643877,0.662189001,0.653648164,0.691044949,0.695791895,0.690115943,0.687294514,0.679646031,0.688332465,0.689045728,0.666244274,0.662362207,0.660219958,0.636569139,0.625155109,0.602786062,0.584791141,0.560575983,0.546906547,0.533775637,0.549797739,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,0.475065035,0.46418614,0.483170624,0.443617836,0.442434655,0.46210043,0.437870334,0.421405074,0.424451707,0.385583293,0.403976917,0.445663797,0.468484785,0.471352061,0.443943028,0.416080509,0.435254057,0.45735193,0.397142367,0.44535664,0.461139431,0.498270736,0.500636452,0.49098685,0.500215869,0.47693016,0.454512186,0.465924754,0.484098826,,,
Iran,,,,,,,,,,,,,,,,,,,,,0.436438229,0.429834187,0.465263426,0.448364054,0.45826281,0.479111041,0.486968111,0.53104564,0.625434865,0.639367508,0.667731876,0.610166882,0.619654055,0.584310671,0.757583927,0.708595354,0.66562644,0.652753966,0.691218487,0.679166866,0.69198388,0.702598202,0.686656418,0.704444115,0.719387717,0.71307527,0.72252316,0.689139925,0.716294737,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.980139972,0.770355373,0.616521298,0.64566088,0.814349716,0.903091218,1.606500984,1.191206345,1.182004165,1.150954711,1.129904999,1.056953518,,,
Ireland,,,,,,,,,,,,,,,,,,,,,0.584383051,0.560599391,0.537659049,0.542459177,0.516336618,0.524845912,0.578203423,0.569015929,0.534301594,0.501099145,0.474336581,0.506535501,0.462679348,0.451024096,0.445621218,0.40896876,0.402504914,0.376918955,0.362713365,0.344398059,0.321965385,0.32848068,0.307972034,0.290484105,0.281320742,0.267060731,0.253009676,0.247786645,0.250737665,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,0.362874438,0.346185885,0.386000205,0.37069345,0.364390639,0.368946905,0.37694392,0.361692676,0.389028497,0.407560456,0.402849096,0.382761744,0.438226449,0.451657643,0.440835847,0.475644949,0.451664566,0.511743211,0.485924418,0.465727257,0.430177678,0.45135483,0.436383314,0.44334104,0.409777619,0.365284258,0.383923434,0.204039626,0.200202254,,,
Italy,,,,,,,,,,,,,,,,,,,,,0.366340118,0.353046968,0.343837031,0.332217398,0.327433168,0.322406131,0.308657474,0.31316263,0.305341951,0.314339619,0.314938132,0.317340286,0.314169169,0.309348826,0.295299771,0.304743453,0.29490102,0.292208101,0.294333153,0.287014054,0.282687336,0.278077038,0.278207922,0.290148416,0.286516479,0.284421565,0.276453095,0.26671425,0.261459526,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,0.77590748,0.663140958,0.544948804,0.554603775,0.449288361,0.454006334,0.401897487,0.440806496,0.356666955,0.494476168,0.561693202,0.549831604,0.534204891,0.507465206,0.513408708,0.563843979,0.593286281,0.625594536,0.586193558,0.582739805,0.609961006,0.619832487,0.595022759,0.58970556,0.58120729,0.543783143,0.631793419,0.716063317,0.63237151,,,
Japan,,,,,,,,,,,,,,,,,,,,,0.45628288,0.429977745,0.406125092,0.396821901,0.408254516,0.379165037,0.369567363,0.352700392,0.362158138,0.353385511,0.339142871,0.329998232,0.334175959,0.329155763,0.345616388,0.342098985,0.339415304,0.333080187,0.327995698,0.339422971,0.335966118,0.330583536,0.333694225,0.334581429,0.331544919,0.319710397,0.311696457,0.309301516,0.302186835,,,
Jordan,,,,,,,,,,,,,,,,,,,,,0.551278124,0.653113177,0.652699904,0.748860143,0.781984938,0.772781695,0.784762511,0.794017207,0.779833714,0.89323874,0.996695896,0.921913265,0.972585232,0.917034065,0.984123116,0.92154942,0.944703166,0.929346739,0.909971308,0.881679635,0.900277751,0.88251451,0.88031761,0.874188684,0.886908574,0.896425472,0.818869992,0.782577493,0.723396722,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675181562,2.492965066,2.573493886,2.343038517,1.967276287,1.781624755,1.752813092,1.589779839,1.588035884,1.619686531,1.515389918,1.403514681,1.433286298,1.345067231,1.317123754,1.431582783,1.444065576,,,
Kenya,,,,,,,,,,,,,,,,,,,,,0.277073506,0.281217051,0.199222257,0.195265354,0.177855888,0.148809078,0.153295118,0.179891799,0.156779759,0.162369115,0.174765651,0.143211321,0.165254767,0.188649382,0.18986273,0.20951401,0.248437335,0.219076642,0.257547765,0.255147275,0.259752087,0.225094789,0.190399478,0.156798981,0.168378879,0.178565155,0.18780477,0.180215326,0.187632878,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,0.241770797,0.250463967,0.205228122,0.161409516,0.1634067,0.17130847,0.140568952,0.174012508,0.147164773,0.160939052,0.157577494,0.164688172,0.159607878,0.155528997,0.148212395,0.150064632,0.23588417,0.178911034,0.181370925,0.159001719,0.166798472,0.133846181,0.126042868,0.120613275,0.119525331,0.119167785,0.133653412,0.149750194,0.134589814,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,0.635998309,0.619866235,0.586270176,0.562622287,0.565419574,0.575628242,0.53218941,0.505632725,0.526666233,0.524216248,0.499659638,0.502871639,0.507055851,0.528627484,0.522789162,0.521694538,0.527348311,0.531737742,0.490823184,0.486696573,0.491164363,0.480865762,0.474639763,0.461884821,0.457137012,0.422085424,0.40815376,0.410913392,0.410521297,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,0.448195246,0.56562273,0.541584753,0.500698659,0.624562666,0.67055153,0.748137614,0.616391859,0.716718232,0.62067139,,,0.396064178,0.493021441,0.53298718,0.742872873,0.69945341,0.706721867,0.70561021,0.749766159,0.794021255,0.735364287,0.682659146,0.680375063,0.696278233,0.699138069,0.619258322,0.60199125,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.235267159,1.11732196,1.020364971,0.796270742,0.928879272,0.82900637,0.862280494,0.651665727,0.613650304,0.486401917,0.623797223,0.6344042,0.629825091,0.583478621,0.564317834,0.649694586,0.575870119,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,0.060511095,0.063350363,0.06259611,0.063501509,0.064804204,0.063720299,0.059716556,0.061729657,0.06441093,0.060815197,0.060666598,0.059446136,0.094381152,0.118556175,0.141958004,0.133376598,0.148102266,0.15846211,0.165162734,0.159534007,0.154389923,0.147181799,0.144318149,0.135884865,0.125956386,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879741473,0.795162777,0.726578756,0.627289538,0.598858707,0.488698007,0.441916307,0.35622273,0.304922728,0.313412521,0.285697724,0.284003059,0.262948042,0.23921172,0.225444947,0.214102415,0.214076106,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329635134,0.602144378,0.53788387,0.406304142,0.464918323,0.446016025,0.451417435,0.452869769,0.43642751,0.506462443,0.505511676,0.521048716,0.475524031,0.482894873,0.462272758,0.50868801,0.437287415,0.451064546,0.38415788,0.368689579,0.372117752,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,0.606039534,0.588141455,0.186881691,0.225341761,0.226632968,0.235740382,0.242199235,0.256943585,0.279869772,0.311481086,0.461330081,0.317813829,0.495866506,0.82411168,1.041374291,1.13779428,1.048244092,0.524384182,0.441818354,0.37645145,0.321068493,0.359216202,0.346399401,0.533663914,0.61340681,0.688137903,0.654147537,0.534391762,0.447720153,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.741742071,0.753484162,0.808230273,0.763550988,0.697613314,0.683860746,0.644205426,0.628012501,0.597110296,0.619072725,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645273508,0.60833056,0.668942074,0.604540841,0.557975006,0.506245937,0.496675249,0.424429555,0.366261279,0.363363324,0.347746866,0.308334968,0.296355598,0.288826063,0.273427989,0.263621654,0.255999673,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,1.096792017,0.942957877,0.876196611,0.796185083,0.807497779,0.806537018,0.720709422,0.66509862,0.633494261,0.617954691,0.606988441,0.600316365,0.65466833,0.575969048,0.523940568,0.422019231,0.420092463,0.372070131,0.324634481,0.312864099,0.309150786,0.314181089,0.331456244,0.3435493,0.367153387,0.356436994,0.339114079,0.304808752,0.293013769,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,0.109861915,0.140732206,0.115062752,0.138500499,0.155115366,0.150472302,0.138531226,0.140964239,0.130986936,0.133480057,0.117020492,0.121758553,0.126106713,0.118241393,0.135175444,0.143660923,0.157215313,0.157686107,0.159175793,0.159545522,0.132458841,0.118491054,0.104950711,0.102855736,0.079810109,0.06659119,0.055153597,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75543404,0.783360062,0.807274813,0.845254227,0.904875686,0.807896434,0.927819251,0.825698395,0.81274566,0.846611038,0.765045629,0.769540206,0.727874444,0.700945493,0.647353403,0.633223485,0.629335381,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,0.145425422,0.102483066,0.102881375,0.066866104,0.095167312,0.105929618,0.113050999,0.126006076,0.121858715,0.085386515,0.084363094,0.09807819,0.09428196,0.094614017,0.116406755,0.114128381,0.120153825,0.139650775,0.137262853,0.14526364,0.134965497,0.118335917,0.096140915,0.12447189,0.130352297,0.109747359,0.104049352,0.104071678,0.102872858,,,
Malawi,,,,,,,,,,,,,,,,,,,,,0.165584279,0.148698308,0.142429057,0.133084088,0.122290594,0.116945056,0.116425766,0.113046428,0.108829885,0.111739359,0.114645919,0.113648661,0.121960625,0.117396214,0.135633321,0.117973731,0.107168396,0.110171614,0.115774283,0.135225038,0.120890931,0.127220084,0.122054787,0.125292715,0.12103598,0.110872924,0.107063919,0.101194631,0.120060211,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,0.415875445,0.428149572,0.400822564,0.468557072,0.397310457,0.419655887,0.457780884,0.442819286,0.422176883,0.451966765,0.470389064,0.520439402,0.524707772,0.58161018,0.545836896,0.640363174,0.602523629,0.558933334,0.551933294,0.49154345,0.529642102,0.569006501,0.533630191,0.598267717,0.587439329,0.608829126,0.562562687,0.57396942,0.585143593,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345819592,0.367748044,0.382865209,0.317336773,0.413026813,0.422165431,0.471078942,0.531959084,0.397136981,0.452988008,0.440085714,0.464300506,0.428082201,0.391627056,,,
Mali,,,,,,,,,,,,,,,,,,,,,0.072195391,0.076233176,0.074019021,0.080518436,0.080531061,0.084740621,0.073220262,0.069355441,0.073224588,0.071133094,0.073111589,0.074451419,0.069879466,0.073177578,0.073685728,0.070479281,0.070948953,0.07145249,0.066444483,0.06490095,0.063316331,0.056863643,0.055328927,0.050132688,0.051396675,0.048765573,0.046311085,0.045261197,0.044197191,,,
Malta,,,,,,,,,,,,,,,,,,,,,0.309012293,0.334484792,0.375227958,0.28684602,0.388641672,0.333019096,0.397029477,0.476456946,0.47682516,0.475297077,0.448674918,0.4265217,0.418274618,0.473125015,0.445972923,0.425158611,0.450930534,0.468125703,0.2946847,0.307859228,0.257840841,0.315609926,0.284417293,0.320327843,0.316560927,0.319083118,0.298782522,0.302412531,0.269618328,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.211224975,0.214864017,0.292944333,0.298800621,0.285758071,0.210438114,0.113433352,0.977851217,0.945219404,0.795626707,0.757851943,0.768093815,0.807243682,0.767207142,0.834528428,0.726014501,0.689463457,0.718525639,0.254644115,0.25513577,0.255455032,0.268860673,0.293793682,0.285140039,0.299603402,0.282441127,0.239709545,0.275218065,0.272364257,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,0.163899675,0.142295232,0.124855816,0.147983128,0.148279367,0.156474279,0.161053119,0.172327354,0.148026803,0.174539975,0.226383546,0.225461366,0.237688716,0.234930509,0.206488703,0.223028249,0.225194116,0.218282227,0.226179665,0.247655976,0.254828603,0.266203813,0.261983492,0.266730473,0.256059274,0.270051886,0.287731097,0.279679782,0.269558229,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,0.381236202,0.371477938,0.40083396,0.385783771,0.386339443,0.383026451,0.406484265,0.416557815,0.412143879,0.413561531,0.386589343,0.383439286,0.376656149,0.368168827,0.374114854,0.379937097,0.371517636,0.354529275,0.347828353,0.342638393,0.323281624,0.332736297,0.327640801,0.332608825,0.322546856,0.333293973,0.323554006,0.319160813,0.333615999,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176610416,0.169036922,0.16628843,0.165456197,0.162604145,0.168052447,0.164604028,0.164351672,0.190330762,0.195014842,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07882594,1.568030592,1.755423815,1.648051023,1.789715368,1.085399036,1.025341601,0.762243462,0.582418429,0.580448456,0.577783318,0.583396893,0.576573761,0.576501532,0.561304626,0.511009245,0.483094144,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,1.91726001,1.800886503,1.76067189,1.532261567,2.028743982,1.987448771,2.102331197,2.190688148,1.916619216,1.881433283,2.504431183,2.504553669,2.174693127,1.819919257,1.702949092,1.69038461,1.560214683,1.509070776,1.434862504,1.409652058,1.438118794,1.443382005,1.307713589,1.258183333,1.208304079,1.193234221,1.210514986,1.146703102,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398421004,0.440767369,0.316640679,0.293992225,,,
Morocco,,,,,,,,,,,,,,,,,,,,,0.346367757,0.35424852,0.34767726,0.364732969,0.349934337,0.330065718,0.322099719,0.352141919,0.335727845,0.354941724,0.350457131,0.347809122,0.377849058,0.413643365,0.393718719,0.431875658,0.395265834,0.412920941,0.385674498,0.396992125,0.399629348,0.413322916,0.405774763,0.374750351,0.38641524,0.395883786,0.377411315,0.386581586,0.378977029,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,0.601068884,0.444218515,0.486979224,0.449302049,0.373552843,0.276287349,0.242134613,0.211102539,0.200928019,0.194133343,0.184766443,0.180652093,0.1856107,0.183966709,0.17113698,0.172913893,0.150904197,0.14797482,0.134442991,0.130384992,0.146493379,0.153328022,0.141558378,0.161267291,0.149768279,0.131058376,0.131021314,0.158766805,0.133584058,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,0.466127875,0.447287916,0.420523245,0.415497183,0.450520511,0.447320841,0.457536222,0.349235668,0.326025607,0.340724586,0.317502244,0.312455321,0.33316644,0.343418232,0.37347285,0.389195419,0.381242546,0.372883246,0.379434378,0.373826788,0.330834417,0.245645511,0.243895743,0.25191327,0.264552737,0.295551948,0.234106633,0.209333932,0.185914107,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001300127,0.002403793,0.00224254,0.002860634,0.004264979,0.243228191,0.25802605,0.247108039,0.250753596,0.215372984,0.207251308,0.242308254,0.245462491,0.251074405,0.23647924,0.245550423,0.246094744,0.244950528,0.31140901,,,
Nepal,,,,,,,,,,,,,,,,,,,,,0.063672609,0.049239753,0.046298669,0.053240732,0.069036627,0.062668733,0.062200141,0.075816696,0.080159381,0.070595443,0.046875541,0.066740565,0.088821429,0.094246503,0.100807944,0.116788155,0.135453584,0.144348495,0.113352873,0.155240802,0.146843738,0.149650251,0.117259756,0.122884375,0.110096427,0.124291627,0.123654147,0.123002504,0.120025925,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,0.563273991,0.527577404,0.434998021,0.438660303,0.446558706,0.444009478,0.423640788,0.437020983,0.406824409,0.432526981,0.417773834,0.429139327,0.410724062,0.415364202,0.404810742,0.400678329,0.409560563,0.375731046,0.355626377,0.3158227,0.308201514,0.305871636,0.314938334,0.318759743,0.31510472,0.300624555,0.281661709,0.280221235,0.277256685,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,0.319513618,0.293526848,0.320226854,0.306793747,0.313960888,0.345333039,0.359183852,0.374057018,0.396723116,0.394411403,0.372009994,0.383734138,0.406049175,0.372093123,0.366259144,0.3572484,0.380695149,0.391217178,0.376954744,0.376292475,0.379933851,0.383637291,0.359673883,0.345447751,0.331270863,0.318997304,0.318298142,0.303413449,0.309637172,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,0.227592067,0.228115876,0.227236684,0.205545862,0.193135787,0.21650624,0.229204742,0.277489128,0.292389785,0.199392647,0.340179705,0.266612977,0.319743047,0.296888245,0.318866113,0.334327523,0.324130849,0.334032716,0.351461098,0.348067194,0.338071139,0.343453659,0.338928348,0.35666146,0.340481388,0.313763124,0.316784852,0.321466153,0.297957371,,,
Niger,,,,,,,,,,,,,,,,,,,,,0.103550715,0.12337684,0.132443228,0.179264648,0.222083984,0.206923708,0.175953543,0.195120043,0.180521471,0.188124891,0.152323809,0.146638591,0.149857613,0.165663425,0.157957395,0.162354751,0.173248836,0.167996815,0.161511312,0.16021763,0.122021727,0.108677767,0.113159185,0.11617688,0.116060819,0.104121548,0.097538774,0.100676672,0.090283905,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,0.548312042,0.610829732,0.608964871,0.58740604,0.716984392,0.656070936,0.673058124,0.547214825,0.593612351,0.332193071,0.328250906,0.312462975,0.435363796,0.394334678,0.306032233,0.22343326,0.247990557,0.240090761,0.235618641,0.259766707,0.435710421,0.444862433,0.515728172,0.443804889,0.418111618,0.425289817,0.354971266,0.320376829,0.326633819,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,0.327233365,0.305685542,0.301834173,0.266142829,0.276443837,0.276523654,0.256375426,0.26303802,0.250870215,0.276875041,0.228255473,0.226277725,0.202558435,0.207951588,0.184878897,0.200210024,0.191532471,0.186954513,0.184534665,0.21447951,0.196506077,0.204013924,0.183076401,0.206461806,0.198783317,0.192401208,0.196184264,0.193996007,0.215804403,,,
Oman,,,,,,,,,,,,,,,,,,,,,0.52135139,0.443259326,0.378651121,0.426241897,0.390813342,0.368374297,0.396462922,0.392222347,0.41512617,0.352601215,0.377964797,0.376895551,0.384086128,0.403260228,0.440109667,0.437384939,0.405602389,0.391827934,0.4079504,0.510193283,0.512867533,0.442262725,0.538772818,0.687452382,0.641878069,0.677679362,0.721403352,0.700738627,0.703938965,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,0.325484533,0.323530082,0.330027641,0.333209191,0.337228207,0.345024707,0.342818534,0.34861737,0.352229202,0.351397092,0.378390102,0.358465289,0.354994612,0.373871624,0.391964392,0.371866749,0.396504266,0.393619817,0.395794367,0.392456826,0.399164351,0.39814643,0.406373672,0.4039351,0.416476961,0.401561335,0.403715017,0.421363038,0.420661561,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041080619,0.538753659,0.594497729,0.554051938,0.516249176,0.482701426,0.47184891,0.462596963,0.489003132,0.48754051,0.752005969,0.779280797,0.821126676,0.782770902,0.756231458,0.77576409,0.786944124,0.827491192,,,
Panama,,,,,,,,,,,,,,,,,,,,,0.269685479,0.222306824,0.202310913,0.228239195,0.195075154,0.175493863,0.176216903,0.213216896,0.207733287,0.182111684,0.213708788,0.21130279,0.231176462,0.2254227,0.253823558,0.181160176,0.247658355,0.28401272,0.264099518,0.242236055,0.240866263,0.289846213,0.23604972,0.238909559,0.209351358,0.203212473,0.21183123,0.184173116,0.172835918,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,0.295322412,0.312753148,0.314018672,0.313952791,0.320819887,0.320642394,0.297292165,0.32730004,0.299573572,0.281095936,0.304970047,0.268381544,0.234478343,0.192702672,0.198946905,0.192275723,0.189386976,0.232823776,0.268671144,0.229015365,0.256195638,0.30829802,0.335777028,0.371205506,0.408129864,0.405568658,0.393779468,0.248894272,0.157983102,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,0.118566849,0.102969454,0.103958336,0.111119706,0.114319256,0.114387306,0.124572477,0.134918183,0.144743774,0.142149568,0.133140679,0.128247273,0.145586214,0.157741228,0.180221098,0.19365426,0.182529145,0.198188877,0.211515721,0.214697003,0.181971732,0.184671503,0.188484834,0.189540967,0.182834059,0.166564983,0.166080484,0.161430015,0.151865492,,,
Peru,,,,,,,,,,,,,,,,,,,,,0.22937908,0.213849107,0.211277705,0.206961462,0.19905961,0.182588426,0.185860799,0.203086307,0.216617278,0.213396235,0.218054647,0.20585293,0.206442321,0.227673916,0.19900407,0.188378336,0.187446977,0.197319605,0.201523216,0.21083739,0.211343251,0.18909145,0.180198316,0.168073973,0.193578175,0.212582579,0.186384688,0.210684369,0.178744117,,,
Philippines,,,,,,,,,,,,,,,,,,,,,0.278039771,0.254499515,0.246947435,0.246543496,0.235871681,0.240387895,0.237816419,0.249561967,0.276775014,0.26620218,0.283191191,0.29314161,0.320791085,0.320186267,0.336508477,0.360517592,0.354302477,0.397181192,0.390438594,0.365601256,0.379362606,0.35961805,0.341988419,0.326596309,0.317151221,0.310614202,0.246223805,0.268333731,0.272639133,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176211522,1.247085223,1.20199505,1.14323204,1.035380342,0.99875833,0.972659769,0.88861685,0.788305687,0.731573531,0.667517093,0.662004458,0.639924068,0.632540734,0.601004128,0.577417413,0.571559523,0.528193743,0.503809732,,,
Portugal,,,,,,,,,,,,,,,,,,,,,0.23813425,0.232680782,0.23393172,0.241610448,0.243563855,0.226082723,0.23665636,0.236637478,0.231279547,0.271264019,0.270741027,0.286190186,0.30735973,0.28441945,0.289382672,0.298134596,0.279258648,0.280558642,0.290239389,0.31074565,0.291069734,0.284967143,0.300605759,0.278197388,0.282414731,0.289709489,0.258459454,0.257296382,0.240556095,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906534157,0.760341731,0.725970182,0.81904293,0.844261153,0.90935011,0.845458681,0.791885346,0.636126505,,,
Romania,,,,,,,,,,,,,,,,,,,,,1.159382874,1.159563786,1.101568416,1.063633809,0.94783431,0.974198001,0.989557352,1.030348218,1.03850584,1.10951211,0.871922786,0.866643659,0.864504161,0.831681367,0.765049423,0.785540946,0.751212015,0.725887163,0.681507013,0.596370552,0.586350446,0.58979282,0.540653293,0.534926968,0.490589281,0.468876156,0.466765442,0.424894063,0.373451079,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.461525068,1.462831308,1.44481346,1.45513317,1.488597269,1.387186375,1.403737308,1.339363917,1.232841285,1.166275306,1.108258956,1.065020734,1.004975335,0.95223439,0.909830514,0.837264283,0.815112083,,,
